Title	URL	Milestone	Deliverable / Sprint	User Story	Story Type	Priority	Estimate (Story Points)	Status
D5: Use Case Diagrams/Models and Descriptions	https://github.com/COS420-F25/Team-B/issues/161		Deliverable 5					Done
D5: Domain Model	https://github.com/COS420-F25/Team-B/issues/163		Deliverable 5					Done
D5: Add The Environmental Impact of AI: Water Consumption content (Chapter 4)	https://github.com/COS420-F25/Team-B/issues/174		Deliverable 5					Done
D5: Table for features	https://github.com/COS420-F25/Team-B/issues/168		Deliverable 5					Done
D5: Add The Energy Footprint of AI content (Chapter 6)	https://github.com/COS420-F25/Team-B/issues/176		Deliverable 5					Done
D5: Add The History of Artificial Intelligence content (Chapter 5)	https://github.com/COS420-F25/Team-B/issues/175		Deliverable 5					Done
D5: DCD Design Pattern	https://github.com/COS420-F25/Team-B/issues/165		Deliverable 5					Done
D5: Continuous Integration	https://github.com/COS420-F25/Team-B/issues/164		Deliverable 5					Done
D5: New Version of Application	https://github.com/COS420-F25/Team-B/issues/166		Deliverable 5					Done
D5: Product Backlog	https://github.com/COS420-F25/Team-B/issues/157		Deliverable 5					Done
D5: Sprint Backlog	https://github.com/COS420-F25/Team-B/issues/158		Deliverable 5					Done
D5: Architecture Design	https://github.com/COS420-F25/Team-B/issues/162		Deliverable 5					Done
D5: Create Introductory content	https://github.com/COS420-F25/Team-B/issues/169		Deliverable 5					Done
D5 Create cybersecurity content	https://github.com/COS420-F25/Team-B/issues/170		Deliverable 5					Done
D5 create legal content	https://github.com/COS420-F25/Team-B/issues/171		Deliverable 5					Done
D5: 4-10 Minute Video	https://github.com/COS420-F25/Team-B/issues/167		Deliverable 5					Done
D5 ethical consideration content page	https://github.com/COS420-F25/Team-B/issues/172		Deliverable 5					Done
D5: Sprint Review	https://github.com/COS420-F25/Team-B/issues/159		Deliverable 5					Done
D5: Revise DCD Design Pattern	https://github.com/COS420-F25/Team-B/issues/173		Deliverable 5					Done
