Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
D5: Use Case Diagrams/Models and Descriptions	https://github.com/COS420-F25/Team-B/issues/161	Done					C-K77					Deliverable 5	
D5: Domain Model	https://github.com/COS420-F25/Team-B/issues/163	Done					C-K77				Dec 7, 2025	Deliverable 5	
D5: Add The Environmental Impact of AI: Water Consumption content (Chapter 4)	https://github.com/COS420-F25/Team-B/issues/174	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: Table for features	https://github.com/COS420-F25/Team-B/issues/168	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: Add The Energy Footprint of AI content (Chapter 6)	https://github.com/COS420-F25/Team-B/issues/176	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: Add The History of Artificial Intelligence content (Chapter 5)	https://github.com/COS420-F25/Team-B/issues/175	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: DCD Design Pattern	https://github.com/COS420-F25/Team-B/issues/165	Done					nicofaragodumsch				Dec 7, 2025	Deliverable 5	
D5: Continuous Integration	https://github.com/COS420-F25/Team-B/issues/164	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: New Version of Application	https://github.com/COS420-F25/Team-B/issues/166	Done					C-K77, kateamartell				Dec 7, 2025	Deliverable 5	
D5: Product Backlog	https://github.com/COS420-F25/Team-B/issues/157	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: Sprint Backlog	https://github.com/COS420-F25/Team-B/issues/158	Done					kateamartell				Dec 7, 2025	Deliverable 5	
D5: Architecture Design	https://github.com/COS420-F25/Team-B/issues/162	Done					nicofaragodumsch				Dec 7, 2025	Deliverable 5	
D5: Create Introductory content	https://github.com/COS420-F25/Team-B/issues/169	Done					C-K77				Dec 7, 2025	Deliverable 5	
D5 Create cybersecurity content	https://github.com/COS420-F25/Team-B/issues/170	Done					C-K77				Dec 7, 2025	Deliverable 5	
D5 create legal content	https://github.com/COS420-F25/Team-B/issues/171	Done					C-K77				Dec 7, 2025	Deliverable 5	
D5: 4-10 Minute Video	https://github.com/COS420-F25/Team-B/issues/167	Done					C-K77				Dec 7, 2025	Deliverable 5	
D5 ethical consideration content page	https://github.com/COS420-F25/Team-B/issues/172	Done					C-K77				Dec 7, 2025	Deliverable 5	
D5: Sprint Review	https://github.com/COS420-F25/Team-B/issues/159	Done					C-K77, kateamartell, nicofaragodumsch				Dec 7, 2025	Deliverable 5	
D5: Revise DCD Design Pattern	https://github.com/COS420-F25/Team-B/issues/173	Done					nicofaragodumsch				Dec 7, 2025	Deliverable 5	
